"Age","DailyRate","DistanceFromHome","Education","EnvironmentSatisfaction","HourlyRate","JobInvolvement","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TrainingTimesLastYear","WorkLifeBalance","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","JobLevel","PercentSalaryHike","TotalWorkingYears","YearsAtCompany","BusinessTravel_Non-Travel","BusinessTravel_Travel_Frequently","BusinessTravel_Travel_Rarely","Department_Human Resources","Department_Research & Development","Department_Sales","EducationField_Human Resources","EducationField_Life Sciences","EducationField_Marketing","EducationField_Medical","EducationField_Other","EducationField_Technical Degree","Gender_Female","Gender_Male","JobRole_Healthcare Representative","JobRole_Human Resources","JobRole_Laboratory Technician","JobRole_Manager","JobRole_Manufacturing Director","JobRole_Research Director","JobRole_Research Scientist","JobRole_Sales Executive","JobRole_Sales Representative","MaritalStatus_Divorced","MaritalStatus_Married","MaritalStatus_Single","OverTime_No","OverTime_Yes","Attrition"
60,696,7,4,2,52,4,4,5220,10893,0,3,2,1,3,3,7,1,9,2,18,12,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"No"
23,650,9,1,2,37,3,1,2500,4344,1,3,4,1,2,4,3,0,2,1,14,5,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No"
34,829,15,3,2,71,3,1,17007,11929,7,3,4,2,3,2,8,6,9,4,14,16,14,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"No"
42,622,2,4,3,81,3,4,4089,5718,1,3,2,2,4,3,2,2,2,2,13,10,10,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"No"
36,1480,3,2,4,30,3,2,2088,15062,4,3,3,0,3,2,7,7,2,1,12,13,8,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"No"
38,653,29,5,4,50,3,4,2406,5456,1,3,4,0,2,3,3,9,9,2,11,10,10,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"No"
37,1278,1,4,3,31,1,4,9525,7677,1,3,3,2,2,2,3,1,3,2,14,6,6,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"No"
45,252,1,3,3,70,4,4,19202,15970,0,3,3,1,2,3,0,1,7,5,11,25,24,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"No"
27,1240,2,4,4,33,3,1,2341,19715,1,3,4,1,6,3,0,0,0,1,13,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"No"
30,1312,2,4,4,78,2,1,4968,26427,0,3,4,0,2,3,7,0,7,1,16,10,9,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"No"
